SG_UE,NM_UE,SG_UF,NM_URNA_CANDIDATO,SG_PARTIDO,DS_SIT_TOT_TURNO,NR_TURNO
07714,CURURUPU,MA,ALDO LOPES,PSB,ELEITO,1
58181,APERIBÉ,RJ,RONINHO,PSD,ELEITO,1
66338,LAVRINHAS,SP,ZEZINHO DO AÇOUGUE,PP,ELEITO,1
21679,SANTA HELENA,PB,JOÃO CLEBER,CIDADANIA,ELEITO,1
48372,MINDURI,MG,MICO,PL,ELEITO,1
41432,BOCAINA DE MINAS,MG,LUZIMAR,PP,ELEITO,1
05959,OURILÂNDIA DO NORTE,PA,DR JÚLIO,AVANTE,ELEITO,1
20877,MATARACA,PB,EGBERTO MADRUGA,PSB,ELEITO,1
80624,PASSOS MAIA,SC,EGO TOZZO,MDB,ELEITO,1
90298,BANDEIRANTES,MS,GUSTAVO SPROTTE,DEM,ELEITO,1
81531,IRANI,SC,FUMINHO,PP,ELEITO,1
71757,TAQUARITINGA,SP,VANDERLEI MÁRSICO,PSDB,ELEITO,1
42897,CARMÓPOLIS DE MINAS,MG,DEDÉ ,PSD,ELEITO,1
74837,CAMPO MOURÃO,PR,TAUILLO TEZELLI,CIDADANIA,ELEITO,1
76333,JAGUARIAÍVA,PR,ALCIONE,DEM,ELEITO,1
98990,VILA RICA,MT,ABMAEL,PL,ELEITO,1
96075,SERRANÓPOLIS,GO,TARCIO DUTRA,PP,ELEITO,1
08850,PRIMEIRA CRUZ,MA,NILSON DO CASSÓ,REPUBLICANOS,ELEITO,1
76554,KALORÉ,PR,EDMILSON,PL,ELEITO,1
16411,CAMPO REDONDO,RN,DR RENAM,PROS,ELEITO,1
18856,TOUROS,RN,PEDRO FILHO,PROS,ELEITO,1
43257,CIPOTÂNEA,MG,ROBERTINHO,PP,ELEITO,1
19666,JOCA CLAUDINO,PB,RINALDO CIPRIANO,PP,ELEITO,1
36080,ITAGUAÇU DA BAHIA,BA,ADÃOZINHO,PSD,ELEITO,1
96377,URUTAÍ,GO,DR. AILTON,CIDADANIA,ELEITO,1
94790,MUTUNÓPOLIS,GO,LUIZINHO,MDB,ELEITO,1
12181,CURRAL NOVO DO PIAUÍ,PI,JUNIOR DE ABEL,MDB,ELEITO,1
89559,VENÂNCIO AIRES,RS,JARBAS DA ROSA,PDT,ELEITO,1
63630,CRAVINHOS,SP,ITAMAR BUENO,PSDB,ELEITO,1
46230,IPANEMA,MG,JULIO FONTOURA,PL,ELEITO,1
61093,ÁGUAS DE LINDÓIA,SP,GIL HELOU,PSDB,ELEITO,1
62677,CABRÁLIA PAULISTA,SP,ALEMÃO,PSB,ELEITO,1
41017,BAMBUÍ,MG,OLÍVIO,PSB,ELEITO,1
33715,BIRITINGA,BA,GIL DE GODE,PSB,ELEITO,1
77291,OURIZONA,PR,RODRIGO AMADO,MDB,ELEITO,1
69132,PORTO FELIZ,SP,DR CÁSSIO,PTB,ELEITO,1
31933,NOSSA SENHORA DE LOURDES,SE,LAERTE,PSD,ELEITO,1
66290,LARANJAL PAULISTA,SP,DR ALCIDES,PSD,ELEITO,1
34878,COTEGIPE,BA,MÁRCIA SÁ TELES,PP,ELEITO,1
67237,MONGAGUÁ,SP,MÁRCIO CABEÇA,REPUBLICANOS,ELEITO,1
71773,TAQUARITUBA,SP,EDER MIANO,PP,ELEITO,1
73261,PAU D'ARCO,TO,JOÃO DA SERRARIA,PP,ELEITO,1
73024,RIACHINHO,TO,RONAILDO BANDEIRA,SOLIDARIEDADE,ELEITO,1
69493,REGENTE FEIJÓ,SP,ANDRÉ ZUQUERATO,PSDB,ELEITO,1
33294,ANGUERA,BA,MAURO VIEIRA,PL,ELEITO,1
27235,CACIMBINHAS,AL,HUGO WANDERLEY,MDB,ELEITO,1
81108,CORONEL MARTINS,SC,MOACIR,PSD,ELEITO,1
89508,TIO HUGO,RS,GILSO PAZ,PDT,ELEITO,1
23892,CHÃ GRANDE,PE,DIOGO,AVANTE,ELEITO,1
01570,ASSIS BRASIL,AC,PROFESSOR JERRY,PT,ELEITO,1
11673,PIRIPIRI,PI,JOVE OLIVEIRA,PTB,ELEITO,1
82392,PAPANDUVA,SC,SALIBA,PP,ELEITO,1
84980,PANTANO GRANDE,RS,MANO PAGANOTTO,PTB,ELEITO,1
52337,SÃO GONÇALO DO ABAETÉ,MG,FABIANO LUCAS,PV,ELEITO,1
46574,ITAMOGI,MG,RONALDO DIAS,MDB,ELEITO,1
18953,VERA CRUZ,RN,MARCOS CABRAL,DEM,ELEITO,1
95311,PETROLINA DE GOIÁS,GO,TIAGO CONTADOR,PSL,ELEITO,1
88897,SÃO PAULO DAS MISSÕES,RS,OBERDAN RHODEN,PSB,ELEITO,1
95451,PIRES DO RIO,GO,CIDA TOMAZINI,PODE,ELEITO,1
92002,BERNARDO SAYÃO,TO,OSORIO DO SOM,CIDADANIA,ELEITO,1
75736,GUAIRAÇÁ,PR,MARCELO DA SAÚDE,PP,ELEITO,1
69892,RUBIÁCEA,SP,JULIO,PSB,ELEITO,1
41840,CATAS ALTAS,MG,SAULO MORAIS,PATRIOTA,ELEITO,1
02755,SÃO PAULO DE OLIVENÇA,AM,GIBE,REPUBLICANOS,ELEITO,1
07218,AXIXÁ,MA,SONIA CAMPOS,PDT,ELEITO,1
51039,RIO ESPERA,MG,MARQUINHO MATIPÓ,PL,ELEITO,1
18350,SÃO FERNANDO,RN,GENILSON MAIA,PL,ELEITO,1
69914,RUBINÉIA,SP,PROFESSOR LUGATO,PATRIOTA,ELEITO,1
80357,ATALANTA,SC,SASSÁ,MDB,ELEITO,1
67296,MONTE APRAZÍVEL,SP,MARCIO MIGUEL,PP,ELEITO,1
41246,ORIZÂNIA,MG,JONIA LEITE,PDT,ELEITO,1
18112,RIACHO DA CRUZ,RN,MARCOS AURÉLIO,PP,ELEITO,1
50113,PIRACEMA,MG,LIM,AVANTE,ELEITO,1
10049,BAIXA GRANDE DO RIBEIRO,PI,DR ZÉ LUIS,PSB,ELEITO,1
39314,TEOLÂNDIA,BA,ROSA,PP,ELEITO,1
35254,GENTIO DO OURO,BA,ROBERIO,PDT,ELEITO,1
24279,GRAVATÁ,PE,PADRE JOSELITO,PSB,ELEITO,1
68870,PIRASSUNUNGA,SP,DR DIMAS URBAN,PSD,ELEITO,1
36935,MACAJUBA,BA,LUCIANO DE NOÉ,PSD,ELEITO,1
84611,SARANDI,PR,WALTER VOLPATO,PSC,ELEITO,1
35432,IBICOARA,BA,GIL,PSC,ELEITO,1
65498,ITAPEVA,SP,DR MARIO TASSINARI,DEM,ELEITO,1
75124,BELA VISTA DA CAROBA,PR,GELSON MAFFI,PDT,ELEITO,1
49379,PAPAGAIOS,MG,MÁRIO REIS,PSDB,ELEITO,1
79472,VITORINO,PR,MARCIANO VOTTRI,PSL,ELEITO,1
85650,CAIBATÉ,RS,AMAURI PIRES DA SILVA,PP,ELEITO,1
40525,PALMÓPOLIS,MG,MARCELO FERNANDES,DEM,ELEITO,1
48879,NATÉRCIA,MG,GABRIEL VILAS BOAS,AVANTE,ELEITO,1
51896,SANTA RITA DO ITUETO,MG,ODENIR RAPOSO,PSC,ELEITO,1
96059,SÃO SIMÃO,GO,DR WALLISSON,PODE,ELEITO,1
35173,FIRMINO ALVES,BA,FABIANO SAMPAIO,PDT,ELEITO,1
27278,CAMPO ALEGRE,AL,NICOLAS PEREIRA,PP,ELEITO,1
51870,SANTA RITA DE IBITIPOCA,MG,LEANDRO,MDB,ELEITO,1
